energy(eV) events_nbr
0.005 6.58179383133e-06
0.015 7.94092590453e-06
0.025 9.13042093119e-06
0.035 1.00346524085e-05
0.045 1.05835934486e-05
0.055 1.07668713663e-05
0.065 1.06302001211e-05
0.075 1.02565934498e-05
0.085 9.74097383932e-06
0.095 9.16852753547e-06
0.105 8.60366196139e-06
0.115 8.09001758886e-06
0.125 7.65654988291e-06
0.135 7.32317080939e-06
0.145 7.10207086914e-06
0.155 6.9953139551e-06
0.165 6.99251188249e-06
0.175 7.07254193561e-06
0.185 7.21079339751e-06
0.195 7.39029198234e-06
0.205 7.61323128076e-06
0.215 7.90973363936e-06
0.225 8.34259512378e-06
0.235 9.00932830094e-06
0.245 1.00451161916e-05
0.255 1.163156809e-05
0.265 1.40154129123e-05
0.275 1.75373699543e-05
0.285 2.26643345845e-05
0.295 3.00100817193e-05
0.305 4.03257763788e-05
0.315 5.44466452111e-05
0.325 7.31963905438e-05
0.335 9.72711521859e-05
0.345 0.000127139897804
0.355 0.000162998256543
0.365 0.000204794551994
0.375 0.000252315549547
0.385 0.000305287177605
0.395 0.000363426223748
0.405 0.000426385514571
0.415 0.000493576713708
0.425 0.000563932787104
0.435 0.000635770726057
0.445 0.000706996238883
0.455 0.000775905010602
0.465 0.000842745272113
0.475 0.000912029811163
0.485 0.000995400999108
0.495 0.00111477348413
0.505 0.0013055938075
0.515 0.00162036193696
0.525 0.00213292079137
0.535 0.0029441597972
0.545 0.00418933702982
0.555 0.00604594331012
0.565 0.00873911567097
0.575 0.0125401313441
0.585 0.0177544467696
0.595 0.0247010445844
0.605 0.033694488854
0.615 0.0450509829458
0.625 0.0591415763562
0.635 0.0765006077062
0.645 0.0979632859919
0.655 0.12476454836
0.665 0.158508173118
0.675 0.200941230112
0.685 0.253559400356
0.695 0.317202315253
0.705 0.391910582424
0.715 0.477319196962
0.725 0.573688147142
0.735 0.683328255308
0.745 0.811785977813
0.755 0.967913696574
0.765 1.16208905005
0.775 1.40245656375
0.785 1.69001488809
0.795 2.01428053755
0.805 2.35161847039
0.815 2.66776761665
0.825 2.92462995315
0.835 3.08956159512
0.845 3.14405394281
0.855 3.0885740887
0.865 2.94165477324
0.875 2.73356473875
0.885 2.49702744017
0.895 2.25849560221
0.905 2.03299112056
0.915 1.82380721979
0.925 1.6263145303
0.935 1.43365279145
0.945 1.241768786
0.955 1.05202842077
0.965 0.870962670009
0.975 0.707929725201
0.985 0.572097727875
0.995 0.470046790793
1.005 0.404672155994
1.015 0.375332605453
1.025 0.378684632453
1.035 0.40954574885
1.045 0.461392051632
1.055 0.526510752641
1.065 0.596151598915
1.075 0.661081258252
1.085 0.712719727877
1.095 0.744657772189
1.105 0.754033841347
1.115 0.74217586851
1.125 0.714148225776
1.135 0.677283107716
1.145 0.639202152132
1.155 0.606033543641
1.165 0.581404257241
1.175 0.566406334556
1.185 0.560297786233
1.195 0.561421642457
1.205 0.567836802987
1.215 0.577423701674
1.225 0.587595392952
1.235 0.595005540251
1.245 0.595659584927
1.255 0.585602953105
1.265 0.562014890259
1.275 0.524271685702
1.285 0.474502957083
1.295 0.417366971407
1.305 0.35910343295
1.315 0.306212355834
1.325 0.264220146628
1.335 0.236896325511
1.345 0.226048457719
1.355 0.231773399983
1.365 0.252890395619
1.375 0.287277944227
1.385 0.331965667577
1.395 0.383026349235
1.405 0.435479504615
1.415 0.483473032994
1.425 0.520914848999
1.435 0.542512827109
1.445 0.544946746693
1.455 0.527763221094
1.465 0.493636322622
1.475 0.447862814876
1.485 0.397257260663
1.495 0.348834183893
1.505 0.308705570642
1.515 0.281469923489
1.525 0.270107934441
1.535 0.276163225638
1.545 0.299890774845
1.555 0.340145802576
1.565 0.394016065871
1.575 0.456452149811
1.585 0.520283954955
1.595 0.576934556266
1.605 0.617864861666
1.615 0.636426297582
1.625 0.629545564911
1.635 0.598659034328
1.645 0.549573864082
1.655 0.491334248351
1.665 0.434513561531
1.675 0.389473460068
1.685 0.364994558563
1.695 0.367396472953
1.705 0.400006890412
1.715 0.462757601803
1.725 0.551816172117
1.735 0.659412077522
1.745 0.774213670792
1.755 0.882599067787
1.765 0.970888290657
1.775 1.02816545524
1.785 1.04893408505
1.795 1.03473764405
1.805 0.99413965489
1.815 0.940998376242
1.825 0.891543516959
1.835 0.861105583309
1.845 0.861333196812
1.855 0.898425987956
1.865 0.972511789138
1.875 1.07800862797
1.885 1.20472042541
1.895 1.33946470088
1.905 1.46809130797
1.915 1.57772211723
